sku,cat1,cat2,cat3
00.01.10.014,Cosmética y Belleza,Corporal,Hidratación
00.071697.000.000,Infantil,Juguetes,Mordedores
000133,Infantil,Higiene infantil,Canastillas y kits bebé
000147,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
000148,Cosmética y Belleza,Manos,Crema de Manos
000200,Higiene y cuidado personal,Facial,Mascarillas
000203,Cosmética y Belleza,Corporal,Hidratación
000206,Cosmética y Belleza,Corporal,Hidratación
000210,Cosmética y Belleza,Corporal,Hidratación
000211,Cosmética y Belleza,Corporal,Hidratación
000235,Infantil,Juguetes,Sonajeros
000300,Infantil,Higiene infantil,Canastillas y kits bebé
000313,Infantil,Lactancia,Accesorios de extracción
000471,Nutrición,Nutrición Deportiva,Proteínas
000543,Cosmética y Belleza,Facial,Ampollas
000556,Infantil,Higiene infantil,Canastillas y kits bebé
0005610,Infantil,Lactancia,Discos de Lactancia
00065357300200,Infantil,Accesorios de alimentación,Esterilización y limpieza
0007070,Salud,Aromaterapia,Aceites esenciales
000910.Ballena,Salud,Botiquín,Termómetros
000910.Caracol,Salud,Botiquín,Termómetros
000910.Pulpo,Salud,Botiquín,Termómetros
000945,Salud,Problemas cardiovasculares y circulación,Colesterol
001003,Salud,Vitaminas y Minerales,Suplementos
001261,Salud,Descanso y relajación,Nerviosismo y estrés
001262,Salud,Descanso y relajación,
001263,Nutrición,Pérdida de peso,Drenajes
001264,Nutrición,Pérdida de peso,Drenajes
001265,Salud,Vitaminas y Minerales,Suplementos
001267,Salud,Trastornos digestivos ,Flora intestinal y digestión
"001268,Salud,""Huesos, articulaciones y músculos"",Colágeno"
001469,Veterinaria,,
001492,Salud,Óptica,Líquido lentillas
001602,Higiene y cuidado personal,Corporal,Geles
001657411,Higiene y cuidado personal,Pies,Limas y durezas
002150,Salud,Vitaminas y Minerales,Suplementos
002369,Salud,Belleza,Cabello | Uñas
002370,Salud,Descanso y relajación,
002402,Salud,Salud Sexual,Falta de Deseo
002426c013650,Salud,Óptica,Líquido lentillas
002453,Salud,Mujer,Menopausia
002454,Salud,Descanso y relajación,
002457,Salud,Trastornos digestivos ,Flora intestinal y digestión
002615,Salud,Botiquín,Antimosquitos
"002655,Salud,Botiquín,""Apósitos, tiritas y gasas"""
002656,Higiene y cuidado personal,Íntima,Protegeslip
002661,Higiene y cuidado personal,Cabello,Anticaída
002661+181553,Higiene y cuidado personal,Cabello,Anticaída
002706,Salud,Vitaminas y Minerales,Suplementos
"002870,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"002872,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"002873,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"002876,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
"002877,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"002878,Salud,""Huesos, articulaciones y músculos"",Colágeno"
"002879,Salud,""Huesos, articulaciones y músculos"",Colágeno"
002896,Salud,Vitaminas y Minerales,Suplementos
002898,Salud,Botiquín,Golpes y hematomas
002902,Salud,Vitaminas y Minerales,Suplementos
002903,Salud,Trastornos digestivos ,Flora intestinal y digestión
002906,Salud,Trastornos digestivos ,Función hepática
002907,Nutrición,Pérdida de peso,Drenajes
002910,Nutrición,Pérdida de peso,Drenajes
003046,Salud,Salud Sexual,Accesorios
003115,Higiene y cuidado personal,Dental,Cepillos eléctricos
003327,Salud,Descanso y relajación,
003379,Cosmética y Belleza,Sol,Suplementos
003611,Salud,Aparato Urinario,Próstata
003612,Salud,Problemas cardiovasculares y circulación,Colesterol
"003613,Salud,""Huesos, articulaciones y músculos"",Colágeno"
003621,Salud,Problemas cardiovasculares y circulación,Colesterol
003622,Salud,Vitaminas y Minerales,Suplementos
003625,Nutrición,Nutrición Deportiva,Isotónicos y recuperadores
003626,Salud,Trastornos digestivos ,
"003671,Salud,""Huesos, articulaciones y músculos"",Colágeno"
003762,Cosmética y Belleza,Facial,Antimanchas
003943,Salud,Vitaminas y Minerales,Jalea real
004007,Infantil,Biberones,Biberones
004128,Higiene y cuidado personal,Íntima,Tampones
004143,Infantil,Cambio de pañal,Pañales
004227,Salud,Ortopedia,Básculas
004263,Salud,Óptica,Líquido lentillas
004308,Infantil,Higiene infantil,Crema pañal
004422,Salud,Ortopedia,Movilidad y Descanso
004470,Infantil,Accesorios de alimentación,Esterilización y limpieza
004572331,Higiene y cuidado personal,Cabello,Peinado y tratamiento
004694,Salud,Ortopedia,Zapatos y Zuecos
004904,Higiene y cuidado personal,Nariz y oído,Limpieza
005015.azul,Cosmética y Belleza,Uñas,Limas y tratamiento uñas
005015.Rosa,Cosmética y Belleza,Uñas,Limas y tratamiento uñas
005096,Higiene y cuidado personal,Dental,Blanqueamiento Dental
005100,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
005121,Higiene y cuidado personal,Dental,Blanqueamiento Dental
005228,Cosmética y Belleza,Sol,Aceite Solar
005229,Salud,Trastornos digestivos ,
005265,Cosmética y Belleza,Manos,Crema de Manos
005390,Salud,Vitaminas y Minerales,Suplementos
005414874004074,Higiene y cuidado personal,Íntima,Incontinencia
005544,Salud,Vitaminas y Minerales,Suplementos
005552,Salud,Vitaminas y Minerales,Suplementos
005557,Higiene y cuidado personal,Dental,Cuidados Especiales
005600,Higiene y cuidado personal,Íntima,Compresas
005601,Higiene y cuidado personal,Íntima,Compresas
005602,Higiene y cuidado personal,Íntima,Protegeslip
005603,Higiene y cuidado personal,Íntima,Tampones
005604,Higiene y cuidado personal,Íntima,Tampones
005606,Higiene y cuidado personal,Íntima,Tampones
005607,Higiene y cuidado personal,Íntima,Compresas
005608,Higiene y cuidado personal,Íntima,Protegeslip
005609,Higiene y cuidado personal,Íntima,Compresas
005611,Higiene y cuidado personal,Íntima,Compresas
005612,Higiene y cuidado personal,Íntima,Protegeslip
005613,Higiene y cuidado personal,Íntima,Compresas
005614,Higiene y cuidado personal,Íntima,Compresas
005615,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
005616,Higiene y cuidado personal,Nariz y oído,Limpieza
005742,Salud,Ortopedia,Bolsas de frío y calor
005933,Salud,Descanso y relajación,
005940,Salud,Descanso y relajación,
0061013,Infantil,Higiene infantil,Colonias
0061014,Infantil,Higiene infantil,Colonias
006244,Infantil,Cambio de pañal,Pañales
"006308,Salud,""Huesos, articulaciones y músculos"",Colágeno"
006324,Salud,Óptica,Líquido lentillas
006477,Salud,Vitaminas y Minerales,Suplementos
006485,Nutrición,Pérdida de peso,Quemagrasas
006597a,Salud,Óptica,Líquido lentillas
006CON,Infantil,Chupetes,Chupetes Personalizados
007191,Infantil,Cambio de pañal,Pañales
007192,Infantil,Cambio de pañal,Pañales
007193,Infantil,Cambio de pañal,Pañales
007194,Infantil,Cambio de pañal,Pañales
007229,Salud,Salud Sexual,Falta de Deseo
007417,Salud,Vitaminas y Minerales,Suplementos
007647,Infantil,Juguetes,Educativos e interactivos
0076472,Infantil,Juguetes,Educativos e interactivos
"007661,Salud,""Huesos, articulaciones y músculos"",Colágeno"
007664,Salud,Óptica,Colirios
007665,Salud,Salud Sexual,Falta de Deseo
007719,Salud,Mujer,Menopausia
007895,Infantil,Juguetes,Educativos e interactivos
007907,Infantil,Juguetes,Educativos e interactivos
008.0381,Infantil,Lactancia,Sacaleches
008.0384,Infantil,Lactancia,Sacaleches
008.0404,Infantil,Lactancia,Accesorios de extracción
008.0411,Infantil,Lactancia,Accesorios de extracción
0080033XXL,Infantil,Lactancia,Accesorios de extracción
008015,Infantil,Juguetes,Educativos e interactivos
00803,Higiene y cuidado personal,Corporal,Geles
0080323,Infantil,Lactancia,Discos de Lactancia
008582,Salud,Vitaminas y Minerales,Suplementos
008583,Nutrición,Pérdida de peso,Drenajes
008584,Salud,Vitaminas y Minerales,Suplementos
008585,Salud,Problemas cardiovasculares y circulación,Colesterol
008668,Salud,Vitaminas y Minerales,Suplementos
008701,Cosmética y Belleza,Corporal,Piel Seca y atópica
008777,Salud,Ortopedia,Movilidad y Descanso
009593786,Higiene y cuidado personal,Corporal,Desodorantes
009593792,Cosmética y Belleza,Hombres,Afeitado Masculino
00982,Salud,Salud Sexual,Accesorios
009931065,Higiene y cuidado personal,Corporal,Geles
0100071050,Salud,Vitaminas y Minerales,Suplementos
0100183885,Salud,Botiquín,Control de glucosa
01004,Higiene y cuidado personal,Facial,Mascarillas
0101066,Infantil,Higiene infantil,Gel-Champú
0101375,Infantil,Higiene infantil,Colonias
0101378,Infantil,Higiene infantil,Colonias
0101379,Infantil,Higiene infantil,Colonias
0101836218,Salud,Vitaminas y Minerales,Suplementos
010296,Salud,Vitaminas y Minerales,Multivitamínicos
010401,Infantil,Juguetes,Para el Baño
010573,Infantil,Lactancia,Accesorios de extracción
010609,Nutrición,Pérdida de peso,Drenajes
010731,Salud,Vitaminas y Minerales,Suplementos
010746,Salud,Vitaminas y Minerales,Suplementos
010758,Salud,Trastornos digestivos ,Flora intestinal y digestión
010760,Salud,Problemas cardiovasculares y circulación,
010777,Nutrición,Pérdida de peso,Drenajes
010784,Salud,Vitaminas y Minerales,Suplementos
010791,Nutrición,Pérdida de peso,Quemagrasas
010814,Salud,Descanso y relajación,
010821,Salud,Problemas cardiovasculares y circulación,
010876,Salud,Descanso y relajación,
010913,Salud,Problemas cardiovasculares y circulación,
010920,Salud,Descanso y relajación,
010937,Salud,Trastornos digestivos ,Función hepática
010944,Salud,Descanso y relajación,Nerviosismo y estrés
010968,Nutrición,Pérdida de peso,Drenajes
010975,Salud,Aparato Urinario,cistitis
011002,Nutrición,Pérdida de peso,Quemagrasas
011004,Salud,Ortopedia,Lesiones
011005,Salud,Ortopedia,Lesiones
011026,Salud,Trastornos digestivos ,Estreñimiento
011033,Salud,Problemas cardiovasculares y circulación,
011099,Salud,Problemas cardiovasculares y circulación,Colesterol
011141,Salud,Aparato Respiratorio,Garganta y tos
011450,Higiene y cuidado personal,Dental,Hilo Dental
011606,Nutrición,Pérdida de peso,Drenajes
011894,Infantil,Cambio de pañal,Pañales
011896,Infantil,Cambio de pañal,Pañales
011897,Infantil,Cambio de pañal,Pañales
011898,Infantil,Cambio de pañal,Pañales
011899,Infantil,Cambio de pañal,Pañales
011908,Infantil,Cambio de pañal,Pañales
011910,Higiene y cuidado personal,Íntima,Compresas
012776,Salud,Vitaminas y Minerales,Suplementos
012893,Higiene y cuidado personal,Íntima,Compresas
012CLA.bla,Infantil,Chupetes,Chupetes Personalizados
012CLA.gri,Infantil,Chupetes,Chupetes Personalizados
012CLA.men,Infantil,Chupetes,Chupetes Personalizados
012CLA.mor,Infantil,Chupetes,Chupetes Personalizados
012CLA.purazu,Infantil,Chupetes,Chupetes Personalizados
012CLA.purros,Infantil,Chupetes,Chupetes Personalizados
012CLA.ros,Infantil,Chupetes,Chupetes Personalizados
012CLAD,Infantil,Chupetes,Chupetes Personalizados
012CLADI16.06AnaLa6,Infantil,Chupetes,Chupetes de Latex o Caucho
013687,Infantil,Cambio de pañal,Pañales
013805,Higiene y cuidado personal,Íntima,Compresas
013BP,Infantil,Chupetes,Chupetes Personalizados
014417,Higiene y cuidado personal,Facial,Mascarillas
014418,Higiene y cuidado personal,Facial,Mascarillas
014421,Higiene y cuidado personal,Facial,Exfoliantes
014422,Higiene y cuidado personal,Facial,Exfoliantes
014424,Higiene y cuidado personal,Facial,Exfoliantes
014425,Cosmética y Belleza,Corporal,Hidratación
014426,Cosmética y Belleza,Corporal,Hidratación
014427,Cosmética y Belleza,Corporal,Hidratación
014428,Cosmética y Belleza,Corporal,Hidratación
014655,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
014702,Higiene y cuidado personal,Íntima,Tampones
014734,Salud,Belleza,Celulitis
014812,Salud,Vitaminas y Minerales,Multivitamínicos
015081,Higiene y cuidado personal,Íntima,Protegeslip
015503,Cosmética y Belleza,Ojos,Pestañas
015511,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
015537,Cosmética y Belleza,Ojos,Pestañas
015BA,Infantil,Chupetes,Chupetes Personalizados
017052,Higiene y cuidado personal,Limpieza Hogar,Ambientadores y velas
0172015,Cosmética y Belleza,Perfumería,Infantil
"017264,Salud,""Huesos, articulaciones y músculos"",Colágeno"
0173104,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
017435,Salud,Belleza,Antienvejecimiento
017533.1,Higiene y cuidado personal,Íntima,Protegeslip
018062,Higiene y cuidado personal,Cabello,Piojos
0184477,Infantil,Juguetes,Educativos e interactivos
018520,Salud,Vitaminas y Minerales,Multivitamínicos
0186362,Infantil,Juguetes,Educativos e interactivos
0186366,Infantil,Juguetes,Educativos e interactivos
0186993,Infantil,Juguetes,Educativos e interactivos
019007,Infantil,Juguetes,Mordedores
0192-01,Infantil,Cambio de pañal,Pañales
"0201369,Salud,""Huesos, articulaciones y músculos"",Colágeno"
021100,Higiene y cuidado personal,Facial,Mascarillas
022031,Cosmética y Belleza,Facial,Maquillajes
022044,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
022245,Salud,Botiquín,Golpes y hematomas
022275,Higiene y cuidado personal,Corporal,Exfoliantes
"024115,Salud,""Huesos, articulaciones y músculos"",Colágeno"
025BADE,Infantil,Chupetes,Chupetes Personalizados
025BADI08.VerdeAnaSi0-6,Infantil,Chupetes,Chupetes de Silicona
029454,Salud,Vitaminas y Minerales,Suplementos
03.268lila,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03.268naranja,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03.268Rosa,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03.271.8,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03.271.lila,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03.271.naranja,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
03.271.rosa,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
